arxiv_id,title,source_group,motivation,angle,subproblem,solution_family,method_name,one_liner,method_figure,pdf_path,code_url,code_status,tags
1804.02505,MVSNet: Depth Inference for Unstructured Multi-view Stereo,curated-pre2026,实时/大规模/高效 3D 表示,计算角度,减少优化/采样/渲染步骤,SLAM / pose graph / online mapping pipeline,MVSNet,MVSNet 针对「减少优化/采样/渲染步骤」，从「计算角度」切入，主要采用「SLAM / pose graph / online mapping pipeline」来服务「实时/大规模/高效 3D 表示」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/1804.02505_MVSNet.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2018_MVSNet_Depth_Inference_for_Unstructured_Multi_view_Stereo_1804.02505.pdf,https://github.com/openMVG/openMVG,code_link_found_not_audited,"Codex:3D-Reconstruction, Codex:3D4D-Reconstruction"
1906.07751,Neural Volumes: Learning Dynamic Renderable Volumes from Images,curated-pre2026,动态场景与 4D 重建,时空/动态角度,建模运动/形变/时间一致性,Motion decomposition / canonical space / deformation,Neural Volumes,Neural Volumes 针对「建模运动/形变/时间一致性」，从「时空/动态角度」切入，主要采用「Motion decomposition / canonical space / deformation」来服务「动态场景与 4D 重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/1906.07751_Neural_Volumes.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2019_Neural_Volumes_Learning_Dynamic_Renderable_Volumes_from_Images_1906.07751.pdf,,code_link_found_not_audited,Codex:3D4D-Reconstruction
2003.08934,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,curated-pre2026,动态场景与 4D 重建,表示/几何角度,解决稀疏视角几何不稳定,NeRF/辐射场/体渲染,NeRF,NeRF 针对「解决稀疏视角几何不稳定」，从「表示/几何角度」切入，主要采用「NeRF/辐射场/体渲染」来服务「动态场景与 4D 重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2003.08934_NeRF.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2020_NeRF_Representing_Scenes_as_Neural_Radiance_Fields_for_View_Synthesis_2003.08934.pdf,https://github.com/facebookresearch/neuralvolumes,code_link_found_not_audited,"Codex:3D-Reconstruction, Codex:3D4D-Reconstruction"
2003.09852,Multiview Neural Surface Reconstruction by Disentangling Geometry and Appearance,curated-pre2026,多视角几何/表面/场景重建,表示/几何角度,提升几何一致性/表面质量,SDF/隐式表面/网格/点云,本文方法,本文方法 针对「提升几何一致性/表面质量」，从「表示/几何角度」切入，主要采用「SDF/隐式表面/网格/点云」来服务「多视角几何/表面/场景重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2003.09852_paper.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2020_Multiview_Neural_Surface_Reconstruction_by_Disentangling_Geometry_and_Appearance_2003.09852.pdf,https://github.com/readthedocs/sphinx_rtd_theme,code_link_found_not_audited,"Codex:3D-Reconstruction, Codex:3D4D-Reconstruction"
2011.13961,D-NeRF: Neural Radiance Fields for Dynamic Scenes,curated-pre2026,动态场景与 4D 重建,时空/动态角度,建模运动/形变/时间一致性,Motion decomposition / canonical space / deformation,D-NeRF,D-NeRF 针对「建模运动/形变/时间一致性」，从「时空/动态角度」切入，主要采用「Motion decomposition / canonical space / deformation」来服务「动态场景与 4D 重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2011.13961_D-NeRF.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2020_D_NeRF_Neural_Radiance_Fields_for_Dynamic_Scenes_2011.13961.pdf,,no_code_link_found,"Codex:3D-Reconstruction, Codex:3D4D-Reconstruction"
2104.00681,NeuralRecon: Real-Time Coherent 3D Reconstruction from Monocular Video,curated-pre2026,多视角几何/表面/场景重建,表示/几何角度,提升几何一致性/表面质量,SDF/隐式表面/网格/点云,NeuralRecon,NeuralRecon 针对「提升几何一致性/表面质量」，从「表示/几何角度」切入，主要采用「SDF/隐式表面/网格/点云」来服务「多视角几何/表面/场景重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2104.00681_NeuralRecon.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_NeuralRecon_Real_Time_Coherent_3D_Reconstruction_from_Monocular_Video_2104.00681.pdf,https://github.com/zju3dv/NeuralRecon,code_link_found_not_audited,"Codex:3D-Reconstruction, Codex:3D4D-Reconstruction"
2102.13090,IBRNet: Learning Multi-View Image-Based Rendering,curated-pre2026,稀疏/单目/少视角 3D 重建,时空/动态角度,解决稀疏视角几何不稳定,SLAM / pose graph / online mapping pipeline,IBRNet,IBRNet 针对「解决稀疏视角几何不稳定」，从「时空/动态角度」切入，主要采用「SLAM / pose graph / online mapping pipeline」来服务「稀疏/单目/少视角 3D 重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2102.13090_IBRNet.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_IBRNet_Learning_Multi_View_Image_Based_Rendering_2102.13090.pdf,https://github.com/googleinterns/IBRNet,code_link_found_not_audited,"Codex:3D-Reconstruction, Codex:3D4D-Reconstruction"
2011.13084,Neural Scene Flow Fields for Space-Time View Synthesis of Dynamic Scenes,curated-pre2026,动态场景与 4D 重建,时空/动态角度,建模运动/形变/时间一致性,Motion decomposition / canonical space / deformation,Space-Time,Space-Time 针对「建模运动/形变/时间一致性」，从「时空/动态角度」切入，主要采用「Motion decomposition / canonical space / deformation」来服务「动态场景与 4D 重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2011.13084_Space-Time.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_Neural_Scene_Flow_Fields_for_Space_Time_View_Synthesis_of_Dynamic_Scenes_2011.13084.pdf,,no_code_link_found,"Codex:3D4D-Reconstruction, Codex:4D-Reconstruction"
2012.02190,pixelNeRF: Neural Radiance Fields from One or Few Images,curated-pre2026,稀疏/单目/少视角 3D 重建,时空/动态角度,解决稀疏视角几何不稳定,NeRF/辐射场/体渲染,pixelNeRF,pixelNeRF 针对「解决稀疏视角几何不稳定」，从「时空/动态角度」切入，主要采用「NeRF/辐射场/体渲染」来服务「稀疏/单目/少视角 3D 重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2012.02190_pixelNeRF.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_pixelNeRF_Neural_Radiance_Fields_from_One_or_Few_Images_2012.02190.pdf,,no_code_link_found,"Codex:3D-Reconstruction, Codex:3D4D-Reconstruction"
2106.13228,HyperNeRF: A Higher-Dimensional Representation for Topologically Varying Neural Radiance Fields,curated-pre2026,动态场景与 4D 重建,时空/动态角度,建模运动/形变/时间一致性,NeRF/辐射场/体渲染,HyperNeRF,HyperNeRF 针对「建模运动/形变/时间一致性」，从「时空/动态角度」切入，主要采用「NeRF/辐射场/体渲染」来服务「动态场景与 4D 重建」。,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2106.13228_HyperNeRF.png,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_HyperNeRF_A_Higher_Dimensional_Representation_for_Topologically_Varying_Neural_Radiance_Fi_2106.13228.pdf,https://github.com/google/hypernerf,code_link_found_not_audited,"Codex:3D-Reconstruction, Codex:3D4D-Reconstruction"
