arxiv_id	year	source_group	tags	title	authors	categories	pdf_path	zotero_status
1804.02505	2018	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	MVSNet: Depth Inference for Unstructured Multi-view Stereo	Yao Yao; Zixin Luo; Shiwei Li; Tian Fang; Long Quan	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2018_MVSNet_Depth_Inference_for_Unstructured_Multi_view_Stereo_1804.02505.pdf	imported
1906.07751	2019	curated-pre2026	Codex:3D4D-Reconstruction	Neural Volumes: Learning Dynamic Renderable Volumes from Images	Stephen Lombardi; Tomas Simon; Jason Saragih; Gabriel Schwartz; Andreas Lehrmann; Yaser Sheikh	cs.GR cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2019_Neural_Volumes_Learning_Dynamic_Renderable_Volumes_from_Images_1906.07751.pdf	imported
2003.08934	2020	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis	Ben Mildenhall; Pratul P. Srinivasan; Matthew Tancik; Jonathan T. Barron; Ravi Ramamoorthi; Ren Ng	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2020_NeRF_Representing_Scenes_as_Neural_Radiance_Fields_for_View_Synthesis_2003.08934.pdf	imported
2003.09852	2020	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	Multiview Neural Surface Reconstruction by Disentangling Geometry and Appearance	Lior Yariv; Yoni Kasten; Dror Moran; Meirav Galun; Matan Atzmon; Ronen Basri; Yaron Lipman	cs.CV cs.GR cs.LG	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2020_Multiview_Neural_Surface_Reconstruction_by_Disentangling_Geometry_and_Appearance_2003.09852.pdf	imported
2011.13961	2020	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	D-NeRF: Neural Radiance Fields for Dynamic Scenes	Albert Pumarola; Enric Corona; Gerard Pons-Moll; Francesc Moreno-Noguer	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2020_D_NeRF_Neural_Radiance_Fields_for_Dynamic_Scenes_2011.13961.pdf	imported
2104.00681	2021	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	NeuralRecon: Real-Time Coherent 3D Reconstruction from Monocular Video	Jiaming Sun; Yiming Xie; Linghao Chen; Xiaowei Zhou; Hujun Bao	cs.CV cs.RO	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_NeuralRecon_Real_Time_Coherent_3D_Reconstruction_from_Monocular_Video_2104.00681.pdf	imported
2102.13090	2021	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	IBRNet: Learning Multi-View Image-Based Rendering	Qianqian Wang; Zhicheng Wang; Kyle Genova; Pratul Srinivasan; Howard Zhou; Jonathan T. Barron; Ricardo Martin-Brualla; Noah Snavely; Thomas Funkhouser	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_IBRNet_Learning_Multi_View_Image_Based_Rendering_2102.13090.pdf	imported
2011.13084	2021	curated-pre2026	Codex:3D4D-Reconstruction,Codex:4D-Reconstruction	Neural Scene Flow Fields for Space-Time View Synthesis of Dynamic Scenes	Zhengqi Li; Simon Niklaus; Noah Snavely; Oliver Wang	cs.CV	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_Neural_Scene_Flow_Fields_for_Space_Time_View_Synthesis_of_Dynamic_Scenes_2011.13084.pdf	imported
2012.02190	2021	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	pixelNeRF: Neural Radiance Fields from One or Few Images	Alex Yu; Vickie Ye; Matthew Tancik; Angjoo Kanazawa	cs.CV cs.GR cs.LG	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_pixelNeRF_Neural_Radiance_Fields_from_One_or_Few_Images_2012.02190.pdf	imported
2106.13228	2021	curated-pre2026	Codex:3D-Reconstruction,Codex:3D4D-Reconstruction	HyperNeRF: A Higher-Dimensional Representation for Topologically Varying Neural Radiance Fields	Keunhong Park; Utkarsh Sinha; Peter Hedman; Jonathan T. Barron; Sofien Bouaziz; Dan B Goldman; Ricardo Martin-Brualla; Steven M. Seitz	cs.CV cs.GR	/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/pdfs/2021_HyperNeRF_A_Higher_Dimensional_Representation_for_Topologically_Varying_Neural_Radiance_Fi_2106.13228.pdf	imported
