arxiv_id,title,figure_status,image_size,method_figure
1804.02505,MVSNet: Depth Inference for Unstructured Multi-view Stereo,extracted_embedded_figure,486x365,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/1804.02505_MVSNet.png
1906.07751,Neural Volumes: Learning Dynamic Renderable Volumes from Images,extracted_embedded_figure,900x219,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/1906.07751_Neural_Volumes.png
2003.08934,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,extracted_embedded_figure,800x800,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2003.08934_NeRF.png
2003.09852,Multiview Neural Surface Reconstruction by Disentangling Geometry and Appearance,extracted_embedded_figure,900x227,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2003.09852_paper.png
2011.13961,D-NeRF: Neural Radiance Fields for Dynamic Scenes,extracted_embedded_figure,900x196,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2011.13961_D-NeRF.png
2104.00681,NeuralRecon: Real-Time Coherent 3D Reconstruction from Monocular Video,extracted_embedded_figure,900x586,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2104.00681_NeuralRecon.png
2102.1309,IBRNet: Learning Multi-View Image-Based Rendering,extracted_embedded_figure,422x412,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2102.13090_IBRNet.png
2011.13084,Neural Scene Flow Fields for Space-Time View Synthesis of Dynamic Scenes,extracted_embedded_figure,512x288,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2011.13084_Space-Time.png
2012.0219,pixelNeRF: Neural Radiance Fields from One or Few Images,extracted_embedded_figure,512x512,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2012.02190_pixelNeRF.png
2106.13228,HyperNeRF: A Higher-Dimensional Representation for Topologically Varying Neural Radiance Fields,extracted_embedded_figure,900x869,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2106.13228_HyperNeRF.png
2011.12948,Nerfies: Deformable Neural Radiance Fields,extracted_embedded_figure,900x1262,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2011.12948_Nerfies.png
2112.00724,RegNeRF: Regularizing Neural Radiance Fields for View Synthesis from Sparse Inputs,extracted_embedded_figure,800x800,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2112.00724_RegNeRF.png
2106.12052,Volume Rendering of Neural Implicit Surfaces,extracted_embedded_figure,900x170,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2106.12052_Volume_Rendering_of_Neural_Implicit_Surfaces.png
2108.10869,"DROID-SLAM: Deep Visual SLAM for Monocular, Stereo, and RGB-D Cameras",extracted_embedded_figure,520x293,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2108.10869_DROID-SLAM.png
2111.12077,Mip-NeRF 360: Unbounded Anti-Aliased Neural Radiance Fields,extracted_embedded_figure,900x465,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2111.12077_Mip-NeRF_360.png
2112.1213,NICE-SLAM: Neural Implicit Scalable Encoding for SLAM,extracted_embedded_figure,900x582,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2112.12130_NICE-SLAM.png
2103.02597,Neural 3D Video Synthesis from Multi-view Video,extracted_embedded_figure,464x464,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2103.02597_Neural_3D_Video_Synthesis_from_Multi-view_Video.png
2201.05989,Instant Neural Graphics Primitives with a Multiresolution Hash Encoding,extracted_embedded_figure,900x506,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2201.05989_paper.png
2205.15285,Fast Dynamic Radiance Fields with Time-Aware Neural Voxels,extracted_embedded_figure,800x800,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2205.15285_Time-Aware.png
2209.14988,DreamFusion: Text-to-3D using 2D Diffusion,extracted_embedded_figure,640x256,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2209.14988_DreamFusion.png
2206.00665,MonoSDF: Exploring Monocular Geometric Cues for Neural Implicit Surface Reconstruction,extracted_embedded_figure,900x462,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2206.00665_MonoSDF.png
2106.10689,NeuS: Learning Neural Implicit Surfaces by Volume Rendering for Multi-view Reconstruction,extracted_embedded_figure,800x800,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2106.10689_NeuS.png
2303.11328,Zero-1-to-3: Zero-shot One Image to 3D Object,placeholder_or_no_embedded_method_figure,900x520,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2303.11328_Zero-1-to-3.png
2301.10241,"K-Planes: Explicit Radiance Fields in Space, Time, and Appearance",extracted_embedded_figure,652x652,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2301.10241_K-Planes.png
2301.09632,HexPlane: A Fast Representation for Dynamic Scenes,placeholder_or_no_embedded_method_figure,900x520,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2301.09632_HexPlane.png
2308.04079,3D Gaussian Splatting for Real-Time Radiance Field Rendering,extracted_embedded_figure,344x490,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2308.04079_Real-Time.png
2308.09713,Dynamic 3D Gaussians: Tracking by Persistent Dynamic View Synthesis,extracted_embedded_figure,900x504,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2308.09713_Dynamic_3D_Gaussians.png
2310.11448,4K4D: Real-Time 4D View Synthesis at 4K Resolution,extracted_embedded_figure,900x1305,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2310.11448_4K4D.png
2309.13101,Deformable 3D Gaussians for High-Fidelity Monocular Dynamic Scene Reconstruction,extracted_embedded_figure,536x960,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2309.13101_High-Fidelity.png
2402.05054,LGM: Large Multi-View Gaussian Model for High-Resolution 3D Content Creation,extracted_embedded_figure,512x512,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2402.05054_LGM.png
2312.16812,Spacetime Gaussian Feature Splatting for Real-Time Dynamic View Synthesis,extracted_embedded_figure,900x653,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2312.16812_Real-Time.png
2309.03453,SyncDreamer: Generating Multiview-consistent Images from a Single-view Image,extracted_embedded_figure,256x256,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2309.03453_SyncDreamer.png
2405.10314,CAT3D: Create Anything in 3D with Multi-View Diffusion Models,extracted_embedded_figure,658x1024,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2405.10314_CAT3D.png
2406.09756,Grounding Image Matching in 3D with MASt3R,extracted_embedded_figure,450x600,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2406.09756_Grounding_Image_Matching_in_3D_with_MASt3R.png
2310.08528,4D Gaussian Splatting for Real-Time Dynamic Scene Rendering,extracted_embedded_figure,900x675,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2310.08528_Real-Time.png
2312.14132,DUSt3R: Geometric 3D Vision Made Easy,extracted_embedded_figure,900x622,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2312.14132_DUSt3R.png
2503.11651,VGGT: Visual Geometry Grounded Transformer,extracted_embedded_figure,900x378,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2503.11651_VGGT.png
2410.03825,MonST3R: A Simple Approach for Estimating Geometry in the Presence of Motion,extracted_embedded_figure,900x489,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2410.03825_MonST3R.png
2503.18945,Aether: Geometric-Aware Unified World Modeling,extracted_embedded_figure,900x506,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2503.18945_Aether.png
2602.19182,Thin Plate Spline Surface Reconstruction via the Method of Matched Sections,placeholder_or_no_embedded_method_figure,900x520,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2602.19182_paper.png
2602.06044,COSMOS: Coherent Supergaussian Modeling with Spatial Priors for Sparse-View 3D Splatting,extracted_embedded_figure,900x286,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2602.06044_COSMOS.png
2601.00012,Neural Brain Fields: A NeRF-Inspired Approach for Generating Nonexistent EEG Electrodes,extracted_embedded_figure,465x422,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2601.00012_Neural_Brain_Fields.png
2603.15622,SAC-NeRF: Adaptive Ray Sampling for Neural Radiance Fields via Soft Actor-Critic Reinforcement Learning,placeholder_or_no_embedded_method_figure,900x520,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2603.15622_SAC-NeRF.png
2601.00051,TeleWorld: Towards Dynamic Multimodal Synthesis with a 4D World Model,extracted_embedded_figure,900x1002,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2601.00051_TeleWorld.png
2601.00913,Clean-GS: Semantic Mask-Guided Pruning for 3D Gaussian Splatting,extracted_embedded_figure,667x370,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2601.00913_Clean-GS.png
2601.00207,CropNeRF: A Neural Radiance Field-Based Framework for Crop Counting,extracted_embedded_figure,900x1200,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2601.00207_CropNeRF.png
2601.00328,Joint Geometry-Appearance Human Reconstruction in a Unified Latent Space via Bridge Diffusion,extracted_embedded_figure,512x512,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2601.00328_Geometry-Appearance.png
2601.00796,AdaGaR: Adaptive Gabor Representation for Dynamic Scene Reconstruction,extracted_embedded_figure,900x902,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2601.00796_AdaGaR.png
2601.00678,Pixel-to-4D: Camera-Controlled Image-to-Video Generation with Dynamic 3D Gaussians,extracted_embedded_figure,900x309,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2601.00678_Pixel-to-4D.png
2601.01222,UniSH: Unifying Scene and Human Reconstruction in a Feed-Forward Pass,extracted_embedded_figure,455x679,/Volumes/UBag/Documents/l40server_mirror/lyra/Lyra-2/paper_collection_3d4d_reconstruction_2026_04_26/boardmix_mindmap/method_figures/2601.01222_UniSH.png
